SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	S0033	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	9	5025	29.07	32.12	202.8	8	0.01	0.01	NA	0.02	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
2	S0033	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	9	5025	29.07	32.12	202.8	8	0.01	0.01	NA	0.02	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
3	S0034	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	75	5025	27.35	36.06	184.4	1.5	0.26	0.76	NA	0.04	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
4	S0034	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	75	5025	27.35	36.06	184.4	1.5	0.26	0.76	NA	0.04	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
5	S0035	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	99	5025	26.57	36.65	196.2	0.9	0.05	0.05	NA	0.02	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
6	S0035	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	99	5025	26.57	36.65	196.2	0.9	0.05	0.05	NA	0.02	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
7	S0036	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	150	5025	22.09	36.91	144.8	1.7	0.04	4.64	NA	0.24	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
8	S0036	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	150	5025	22.09	36.91	144.8	1.7	0.04	4.64	NA	0.24	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
9	S0037	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	200	5025	17.58	36.34	120	3.9	0.02	13.62	NA	0.77	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
10	S0037	GA02	Station_33	A	2010-6-26T12:25:00	26	6	10	12:25:00	13.1623	-53.4215	200	5025	17.58	36.34	120	3.9	0.02	13.62	NA	0.77	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
11	S0039	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	9	4787	28.63	35.73	193.5	1.1	0.01	0.01	NA	0.01	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
12	S0039	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	9	4787	28.63	35.73	193.5	1.1	0.01	0.01	NA	0.01	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
13	S0040	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	72	4787	27.94	36.24	198	1.1	0.02	0.02	NA	0.01	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
14	S0040	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	72	4787	27.94	36.24	198	1.1	0.02	0.02	NA	0.01	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
15	S0041	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	100	4787	26.26	36.28	185.1	1.2	0.3	0.4	NA	0.03	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
16	S0041	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	100	4787	26.26	36.28	185.1	1.2	0.3	0.4	NA	0.03	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
17	S0042	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	151	4787	18.29	36.38	116.1	3.5	0.03	12.43	NA	0.7	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
18	S0042	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	151	4787	18.29	36.38	116.1	3.5	0.03	12.43	NA	0.7	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
19	S0043	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	201	4787	11.99	35.29	96.1	9.8	0.02	25.22	NA	1.56	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
20	S0043	GA02	Station_35	A	2010-6-28T14:16:00	28	6	10	14:16:00	9.5462	-50.4686	201	4787	11.99	35.29	96.1	9.8	0.02	25.22	NA	1.56	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
21	S0045	GA02	Station_31	A	2010-6-24T15:06:00	24	6	10	15:06:00	16.8312	-56.2685	76	5739	26.89	36.7	195.5	1.1	0.23	0.23	NA	0.01	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
22	S0045	GA02	Station_31	A	2010-6-24T15:06:00	24	6	10	15:06:00	16.8312	-56.2685	76	5739	26.89	36.7	195.5	1.1	0.23	0.23	NA	0.01	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
23	S0046	GA02	Station_31	A	2010-6-24T15:06:00	24	6	10	15:06:00	16.8312	-56.2685	101	5739	26.14	36.94	192.3	0.9	0.26	0.36	NA	0.01	NA	NA	NA	NA	NA	Summer	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
24	S0046	GA02	Station_31	A	2010-6-24T15:06:00	24	6	10	15:06:00	16.8312	-56.2685	101	5739	26.14	36.94	192.3	0.9	0.26	0.36	NA	0.01	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
